ID;Entitlement;Sorting
1000;Outlook Email Tool;A
1001;Teams Chat Tool;B
1002;"Daily  Coupon Service for ""Raphael's Diner"" ";C
1003;"Write access to: ""E:\\Documents\Contract_templates\""";D
1004;"Read access to: ""E:\\Documents\Contract_templates\""";E
1005;C&C Maker Default Access;F
1006;C&C Maker Approval North Amerika Access;G
1007;C&C Maker Approval Europe Access;H
1008;C&C Maker Approval Asia Access;I
1009;C&C Maker Legal Approval;J
1010;L.P.Bac Delivery Service;K
1011;Pax Pecuniae;L
1012;N&A Maker Legal Approval;M
1013;"Read access to: ""E:\\Documents\Old_contracts\""";N
1014;"Write access to: ""E:\\Documents\Old_contracts\""";O
1015;Greyman Time Booking Software Access;P
1016;"Customer database query ""North America""";Q
1017;"Customer database query ""Europe""";R
1018;Company Policies North America & Europe;S
1019;Company Policies Asia;T
1020;"Customer database query ""Asia""";U
1021;Employee Financial Reward Approval Team Contracts Negotiation;V
1022;Employee Financial Reward Approval Team Contracts Template Creation;W
1023;Employee Financial Reward Approval Team Legal Consulting;X
1024;Payments Letters and Parcels;Y
1025;Payments S.B Coffee Delivery Services;Z
1026;"Read access to: ""E:\\Documents\Corporate_Design\""";ZA
1027;"""CharoLingua"" Language Translation Tool";ZB
1028;"""ConsiliumC"" Contract Design Manual";ZC
1029;Adobe Photoshop License;ZD
